state,is_flood_event,rows,rainfall_mean,rainfall_p95,river_mean
Assam,0,41734,3.9653706426091535,21.36304301549999,2.5388727085384093
Assam,1,10311,12.142825509319922,45.163968335,2.43869337732344
Kerala,0,27216,5.765037172998089,28.430475660125,8.046728483468325
Kerala,1,3458,15.941848504771254,57.43234098749997,4.382922492722034
Odisha,0,44786,3.0144591486540144,16.906087647325002,70.1419418461903
Odisha,1,6164,8.977758048594435,36.03022398368991,430.85343954137403
Uttar Pradesh,0,120667,1.8777026806910473,10.883027840609994,73.54633801023519
Uttar Pradesh,1,13933,5.535860607639015,24.676848901999996,79.98579497534543
